Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,189.699997,196.800003,188.000000,195.100006,193.161346,61669527
2017-01-08,196.699997,201.399994,195.199997,199.699997,197.715622,76456317
2017-01-15,199.699997,200.600006,196.000000,197.699997,195.735504,48759258
2017-01-22,196.399994,205.600006,196.399994,204.399994,202.368927,62657244
2017-01-29,204.399994,208.399994,200.800003,205.000000,202.962967,46264844
2017-02-05,206.399994,207.399994,202.399994,202.600006,200.586807,63066831
2017-02-12,203.000000,215.000000,202.199997,212.199997,210.091431,93406965
2017-02-19,213.199997,216.399994,210.000000,211.199997,209.101364,76601846
2017-02-26,211.000000,213.600006,204.199997,207.199997,205.141113,81697897
2017-03-05,206.600006,213.000000,206.600006,212.399994,210.289429,64275066
2017-03-12,213.000000,222.800003,212.800003,222.000000,219.794052,95136220
2017-03-19,222.000000,229.800003,218.199997,225.199997,222.962234,133944629
2017-03-26,225.199997,230.199997,222.600006,222.800003,220.586105,84652178
2017-04-02,226.000000,228.800003,222.399994,227.199997,224.942368,60736453
2017-04-09,228.000000,233.800003,224.199997,230.600006,228.308594,53326582
2017-04-16,230.600006,239.600006,228.000000,236.399994,234.050934,69811356
2017-04-23,240.000000,245.000000,236.600006,243.399994,240.981384,84692013
2017-04-30,243.399994,248.399994,241.800003,243.800003,241.377426,57946669
2017-05-07,247.199997,259.200012,243.399994,258.200012,255.634308,114722000
2017-05-14,259.600006,271.399994,256.200012,268.399994,265.732971,145857522
2017-05-21,271.600006,280.600006,269.000000,278.000000,275.875031,120130619
2017-05-28,278.000000,278.200012,262.799988,270.000000,267.936157,103913299
2017-06-04,271.799988,283.399994,269.000000,277.399994,275.279633,122113580
2017-06-11,271.200012,277.399994,269.399994,272.600006,270.516327,122782356
2017-06-18,274.799988,283.799988,274.200012,280.200012,278.058258,77926486
2017-06-25,281.000000,288.399994,277.399994,279.200012,277.065887,96523781
2017-07-02,278.399994,280.799988,260.399994,269.000000,266.943848,131418192
2017-07-09,270.000000,286.399994,269.399994,284.799988,282.623077,78080409
2017-07-16,288.000000,300.600006,284.200012,297.000000,294.729797,81634274
2017-07-23,298.000000,308.600006,297.200012,304.799988,302.470154,88925456
2017-07-30,305.399994,317.799988,305.399994,311.399994,309.019745,101582896
2017-08-06,315.399994,333.000000,310.200012,310.600006,308.225830,155376550
2017-08-13,314.000000,341.000000,314.000000,325.799988,323.309662,146718009
2017-08-20,330.000000,333.000000,322.600006,328.399994,325.889771,73678926
2017-08-27,327.000000,332.200012,314.600006,326.200012,323.706604,102953807
2017-09-03,325.000000,326.799988,319.200012,321.799988,319.340210,73672569
2017-09-10,322.799988,340.600006,322.200012,338.799988,336.210297,97550662
2017-09-17,341.000000,349.600006,341.000000,346.200012,343.553711,83259501
2017-09-24,345.200012,345.799988,328.600006,336.200012,333.630188,100727906
2017-10-01,336.200012,353.600006,336.200012,352.000000,349.309418,43581682
2017-10-08,352.000000,353.799988,346.399994,349.200012,346.530823,77723776
2017-10-15,352.000000,356.399994,345.600006,349.600006,346.927734,78385402
2017-10-22,351.600006,352.600006,345.399994,347.799988,345.141479,70163488
2017-10-29,353.000000,368.399994,349.000000,368.000000,365.187103,85828809
2017-11-05,369.600006,398.600006,364.600006,385.399994,382.454071,135671547
2017-11-12,385.000000,405.000000,383.000000,403.399994,400.316498,128721428
2017-11-19,405.399994,439.600006,405.399994,415.799988,412.621704,190386615
2017-11-26,416.000000,422.799988,385.000000,385.000000,382.057159,227224997
2017-12-03,384.000000,397.799988,365.200012,394.000000,390.988342,229520325
2017-12-10,389.399994,410.799988,387.399994,389.000000,386.026550,127072779
2017-12-17,394.399994,405.799988,389.000000,405.799988,402.698151,89345499
2017-12-24,405.799988,408.200012,401.000000,406.000000,402.896637,44944312
2017-12-31,406.000000,436.399994,406.000000,433.200012,429.888733,94723644
2018-01-07,436.200012,446.399994,429.399994,442.200012,438.819916,107313433
2018-01-14,445.399994,454.000000,433.200012,452.399994,448.941986,105411494
2018-01-21,455.000000,474.600006,450.399994,471.200012,467.598267,117910857
2018-01-28,473.799988,476.600006,451.000000,452.399994,448.941986,113817645
2018-02-04,433.799988,445.799988,398.000000,407.399994,404.285919,292888099
2018-02-11,412.799988,447.000000,409.600006,447.000000,443.583221,96199133
2018-02-18,447.000000,458.000000,444.799988,453.399994,449.934326,78263766
2018-02-25,456.000000,458.000000,428.000000,436.000000,432.667328,128826136
2018-03-04,436.000000,448.200012,425.000000,447.000000,443.583221,98639320
2018-03-11,455.399994,472.799988,453.600006,465.200012,461.644135,115227999
2018-03-18,465.000000,475.600006,405.000000,420.000000,416.789612,446769365
2018-03-25,419.399994,438.600006,405.200012,409.600006,406.469116,180024025
2018-04-01,409.600006,412.399994,397.600006,405.799988,402.698151,95334637
2018-04-08,408.000000,425.600006,404.200012,408.000000,404.881348,110887653
2018-04-15,406.799988,407.799988,393.399994,400.200012,397.140991,121357824
2018-04-22,397.600006,400.200012,377.200012,388.399994,385.431152,130070280
2018-04-29,392.399994,396.799988,382.000000,382.799988,379.873962,75316169
2018-05-06,388.000000,415.000000,375.399994,408.799988,405.675232,144420124
2018-05-13,415.000000,424.200012,390.600006,411.000000,407.858429,174091258
2018-05-20,416.600006,418.000000,401.600006,404.000000,401.772156,79923998
